date,time,location,State,Country_orig,Country,country_trim,country_code,operator,operator_code,flight_no,route,ac_type,registration,cn_ln,aboard,aboard_count,fatalities,fatal_count,ground,summary
19-Jun-92,18:53,Canbera, ACT, Australia,ACT,ACT,1080,Air taxi,3820,?,Bankstown - Cooma,Beech Baron 95-B55,VH-JDL,TC-1382,6   (passengers:5  crew:1),6 ,6   (passengers:5  crew:1),6 ,0,"While cruising at 8,000 feet, the aircraft entered a rapid descent, during which it reversed direction in a left turn. The descent was briefly arrested at a low altitude; however, the aircraft again turned left and descended rapidly. There are indications that the center of gravity moved further aft during the flight, until reaching a point at which the pilot was unable to prevent significant diversions in both climb and descent from the reference altitude, culminating in the rapid descent."
18-Jul-33,?,Aegean Sea,,,Aegean Sea,Aegean Sea,1090,Societa Anonima Aero Expresso Italiana,24540,?,Athens - Rhodes,CMASA Wal (flying boat),I-AZEE,?,6   (passengers:2  crew:4),6 ,6   (passengers:2  crew:4),6 ,0,Forced to ditch in gale force winds.
2-Jan-54,?,Herat, Afghanistan,,Afghanistan,Afghanistan,1100,Ariana Afghan Airlines,6350,?,?,Douglas DC-3,?,?,21   (passengers:?  crew:?),21 ,21   (passengers:?  crew:?),21 ,0,Two Russian trade delegates were killed when the plane crashed near Herat.
12-Dec-63,10:15Z,Gazni, Afghanistan,,Afghanistan,Afghanistan,1100,Trans Mediterranean Airways,26620,?,Kawait - Kabul,Douglas C-54A,OD-AEB,10424,3   (passengers:0  crew:3),3 ,3   (passengers:0  crew:3),3 ,0,"The cargo plane struck a mountain while en route. A wrong estimation of the wind speed and direction resulted in a navigation error which brought the aircraft 42 nm from the approved air route. Possible contributing factors were: lack of weather forecast prior to takeoff, personal worries, fatigue and lack of oxygen, inadequate charts and maps."
18-Apr-73,?,Bamiyan, Afghanistan,,Afghanistan,Afghanistan,1100,Bakhtar Afghan Airlines,7200,?,Bamiyan - Kabul,de Havilland Canada DHC-6 Twin Otter 100,YA-GAT,111,19   (passengers:16  crew:3),19 ,4   (passengers:2  crew:2),4 ,0,The chartered American/Canadian tour group's plane crashed on takeoff.
30-Sep-80,?,Badakshan, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Soviet Air Force,18530,?,?,Antonov AN-12V,CCCP-11104,1347710,45   (passengers:?  crew:?),45 ,45   (passengers:?  crew:?),45 ,0,Shot down by Afghan guerrilla forces as it prepared to land.
10-Mar-83,?,Near Shach Goan, Afghanistan,,Afghanistan,Afghanistan,1100,Bakhtar Afghan Airlines,7200,?,?,de Havilland Canada DHC-6 Twin Otter 300,YA-GAZ,395,19   (passengers:17  crew:2),19 ,19   (passengers:17  crew:2),19 ,0,"Pilot decided to climb and continue to fly VFR in deteriorating weather. The plane crashed in an area of rain, turbulence and thunderstorms. Continued VFR flight in poor weather and a physical impairment due to lack of oxygen when flying at high altitude."
21-Sep-84,?,Near Sarakchar, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Russian Air Force,18420,?,?,Antonov AN-12,?,?,50   (passengers:?  crew:?),50 ,50   (passengers:?  crew:?),50 ,0,Shot down by Afghan rebels.
27-Oct-84,?,Near Kabul, Afghanistan,,Afghanistan,Afghanistan,1100,Mililtary - Soviet Air Force,17030,?,?,Ilyushin IL-76M,CCCP-86739,83412354,20   (passengers:?  crew:?),20 ,20   (passengers:?  crew:?),20 ,0,Shot down by enemy fire.
4-Sep-85,c 11:00,Near Kandahar, Afghanistan,,Afghanistan,Afghanistan,1100,Ariana Afghan Airlines,6350,?,Kandahar - Farah,Antonov AN-26,YA-BAM,57314106,52   (passengers:47  crew:5),52 ,52   (passengers:47  crew:5),52 ,0,Shot down by rebels with a ground-to-air missile while flying at FL130.
25-Nov-86,?,Near Sarowbi, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Ilyushin IL-18,?,?,40   (passengers:?  crew:?),40 ,40   (passengers:?  crew:?),40 ,0,Shot down by Afghan rebels.
9-Feb-87,11:30,Near Khost, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Antonov AN-26,?,?,36   (passengers:30  crew:6),36 ,36   (passengers:30  crew:6),36 ,0,Shot down by a Stinger missile by Afghan guerillas.
11-Jun-87,?,Khost, Afghanistan,,Afghanistan,Afghanistan,1100,Bakhtar Afghan Airlines,7200,?,Kandahar - Kabul,Antonov AN-26,YA-BAL,14105,53   (passengers:?  crew:?),53 ,53   (passengers:?  crew:?),53 ,0,Shot down by rebel forces with a surface-to-air missile.
13-Sep-87,?,Kunduz, Afghanistan,,Afghanistan,Afghanistan,1100,Aeroflot,1810,?,?,Antonov AN-26,?,?,15   (passengers:?  crew:?),15 ,15   (passengers:?  crew:?),15 ,0,Shot down by Afghan rebels on approach.
10-Apr-88,15:10,Near Mazâr-e Charif, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,Maimana - Mazar,Antonov AN-26,?,?,29   (passengers:26  crew:3),29 ,29   (passengers:26  crew:3),29 ,0,Shot down by Afghan guerillas with an anti-aircraft missile.
23-Jul-89,?,Near Jalalabad, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Mil Mi-8 / Mil Mi-8,?,?,30   (passengers:?  crew:?),30 ,30   (passengers:?  crew:?),30 ,0,Mid-air collision between two helicopters.
21-Sep-89,?,Near Baghran, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Mil Mi-17 ( helicopter),?,?,24   (passengers:?  crew:?),24 ,24   (passengers:?  crew:?),24 ,0,?
27-Mar-90,11:00,Kabul, Afghanistan,,Afghanistan,Afghanistan,1100,Aeroflot,1810,?,Kokand - Kabul,Ilyushin IL-76MD,CCCP-78781,83489670,11   (passengers:2  crew:9),11 ,11   (passengers:2  crew:9),11 ,0,The cargo plane stalled while on final and crashed while on approach after being ordered by ATC to discontinue the approach. Pilot error.
27-Jul-90,?,Near Maymaneh, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Mil Mi-8 (helicopter),?,?,30   (passengers:25  crew:5),30 ,30   (passengers:25  crew:5),30 ,0,Shot down by rebel forces.
10-Aug-90,?,Near Shindand, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Antonov AN-12,?,?,83   (passengers:78  crew:5),83 ,83   (passengers:78  crew:5),83 ,0,Crashed shortly after takeoff. Mechanical failure or possibly shot down.
10-Feb-93,?,Near Daraim, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,Faisabad - Daraim,Mil Mi-8,?,?,30   (passengers:?  crew:?),30 ,30   (passengers:?  crew:?),30 ,0,The helicopter crashed while en route. Overloaded and poorly maintained.
27-Apr-93,?,Near Kholm, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,Kabul - Mazar-i- Sharif,Antonov AN-32,?,?,76   (passengers:71  crew:5),76 ,76   (passengers:71  crew:5),76 ,0,"Crashed into a hill in poor visibility, low clouds and fog."
29-Jun-94,?,Near Logar, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Dostum-Galboddin Militia,17400,?,?,Antonov AN-32,?,?,70   (passengers:?  crew:?),70 ,50   (passengers:?  crew:?),50 ,0,Shot down by Afghan troops.
11-Sep-95,?,Jalalabad, Afghanistan,,Afghanistan,Afghanistan,1100,Ariana Afghan Airlines,6350,?,Kabul - Jalalabad,Antonov AN-26B,YA-BAO,14305,51   (passengers:44  crew:7),51 ,3   (passengers:3  crew:0),3 ,0,Crashed after running out of fuel.
11-Feb-96,?,Near Kandahar, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Taliban Militia,18610,?,?,?,?,?,20   (passengers:?  crew:?),20 ,20   (passengers:?  crew:?),20 ,0,The helicopter was shot down.
23-Apr-97,c 18:00,Near Konduz, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Antonov AN-26,?,?,36   (passengers:?  crew:?),36 ,36   (passengers:?  crew:?),36 ,0,The transport crashed into a mountain.
29-Oct-97,?,Jalal-Abad, Afghanistan,,Afghanistan,Afghanistan,1100,Ariana Afghan Airlines,6350,?,?,Yakovlev YAK-40,YA-KAE,9441037,26   (passengers:20  crew:6),26 ,2   (passengers:2  crew:0),2 ,0,Crashed during a landing attempt.
19-Mar-98,14:00,Near Charasyab, Afghanistan,,Afghanistan,Afghanistan,1100,Ariana Afghan Airlines,6350,?,Dubai - Kandahar - Kabul,Boeing B-727-228,YA-FAZ,22288/1712,45   (passengers:32  crew:13),45 ,45   (passengers:32  crew:13),45 ,0,"The plane was descending for a landing at Kabul on visual when it struck 3,000 ft. Sharhi Baranta Mountain, 300 feet below the summit in dense fog and rain."
12-Jun-02,21:24,Near Gardez, Afghanistan,,Afghanistan,Afghanistan,1100,Military - U.S. Air Force,18690,?,?,Lockheed MC-130H Hercules,84-0475,5041,10   (passengers:2  crew:8),10 ,3   (passengers:0  crew:3),3 ,0,While participating in a night mission to remove U.S. Special Forces troops the plane crashed 2.5 miles from the airstrip. Overloaded. The excessive cargo weight loaded on the aircraft at the Band E Sardeh Dam landing zone.
24-Apr-06,11:45,Lashkar Gah, Afghanistan,,Afghanistan,Afghanistan,1100,U.S. Government (leased),27370,?,Kabul - Kandahar - Lashkar Gah,Antonov AN-32B,ZS-PDV,3003,16   (passengers:12  crew:4),16 ,2   (passengers:0  crew:2),2 ,3,A cargo plane carrying U.S. anti-narcotics officials crashed while attempting to land at Bost Airport in Lashkar Gah. The plane overran the runway and crashed into a residential area after trying to avoid a truck that pulled onto the runway. The pilot pulled up to avoid hitting the truck but was unable to gain sufficient speed to remain airborne.
2-Sep-06,16;30,Near Kandahar, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Royal Air Force,18230,?,?,British Aerospace Nimrod MR-2,XV-230,8005,14   (passengers:12  crew:2),14 ,14   (passengers:12  crew:2),14 ,0,The NATO supporting aircraft crashed 12 miles west of Kandahar after the crew reported technical problems. The accident was most likely caused by an ignited fuel leak.
15-Jan-09,?,Adraskan district, Afghanistan,,Afghanistan,Afghanistan,1100,Afghan Army,2530,?,?,Mil Mi-17,?,?,13   (passengers:?  crew:?),13 ,13   (passengers:?  crew:?),13 ,0,Either shot down or crashed due to bad weather.
19-Jul-09,11:50,Kandahar Airport, Afghanistan,,Afghanistan,Afghanistan,1100,Vertical-T Air,28070,?,?,Mil Mi-8,?,?,21   (passengers:?  crew:?),21 ,16   (passengers:?  crew:?),16 ,0,A civilian contractor's helicopter crashed while attempting to take off.
17-May-10,9:30,Salang pass, Afghanistan,,Afghanistan,Afghanistan,1100,Pamir Airlines,20890,?,Kunduz - Kabul,Antonv An-24B,YA-PIS,27307903,44   (passengers:38  crew:6),44 ,44   (passengers:38  crew:6),44 ,0,"The plane crashed in Salang pass, 60 miles north of Kabul. Weather was poor in the general area."
12-Oct-10,19:50,Near Kabul, Afghanistan,,Afghanistan,Afghanistan,1100,National Air Cargo,19640,?,Bagram AB - Kabul,Lockheed L-100 Hercules,5X-TUC,4362,8   (passengers:0  crew:8),8 ,8   (passengers:0  crew:8),8 ,0,The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.
6-Jul-11,23:00,Near Bagram Air Base, Afghanistan,,Afghanistan,Afghanistan,1100,Silk Way Airlines,24040,?,"Baku, Azerbaijan - Bagram Air Base, Afghanistan",Ilyushin76TD,4K-AZ55,2053420680,9   (passengers:0  crew:9),9 ,9   (passengers:0  crew:9),9 ,0,"While flying at 12,500 feet, the cargo plane crashed into a mountain peak, exploded and burned about 15 miles from Bagram. The aircraft was loaded with fuel for the International Security Assistance Force in Afghanistan."
6-Aug-11,?,Tangi Valley, Afghanistan,,Afghanistan,Afghanistan,1100,Military - U.S. Army,18760,?,?,Boeing CH-47 Chinook,?,?,38   (passengers:?  crew:?),38 ,38   (passengers:?  crew:?),38 ,0,"Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents."
16-Mar-12,10:45,Kabul, Afghanistan,,Afghanistan,Afghanistan,1100,Military - Turkish Army (NATO),18660,?,?,Sikorsky S-70A-28,10981,?,12   (passengers:?  crew:?),12 ,12   (passengers:?  crew:?),12 ,4,The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.
29-Apr-13,15:25,Bagram Air Base, Afghanistan,,Afghanistan,Afghanistan,1100,National Air Cargo,19640,102,Bagram - Dubai Al Maktoum,Boeing B-747-428BCF,N949CA,25630/960,7   (passengers:0  crew:7),7 ,7   (passengers:0  crew:7),7 ,0,"The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000
pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable."
2-Oct-15,19,Jalalabad, Afghanistan,,Afghanistan,Afghanistan,1100,Military - U.S. Army,18760,?,?,Lockheed C-130J Hercules,?,?,11   (passengers:5  crew:6),11 ,11   (passengers:5  crew:6),11 ,2,"The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed."
22-Sep-85,?,Afghanistan,,,Afghanistan,Afghanistan,1100,Military - Soviet Air Force,18530,?,?,Antonov AN-12,?,?,26   (passengers:?  crew:?),26 ,26   (passengers:?  crew:?),26 ,0,Shot down by Afghan rebels.
15-Aug-88,?,Northern Afghanistan,,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Antonov AN-22,?,?,39   (passengers:?  crew:?),39 ,39   (passengers:?  crew:?),39 ,0,Shot down by a surface-to-air missile.
10-Dec-88,c 20:00,Afghanistan,,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,Kabul - Khowst,Antonov AN-32,?,?,25   (passengers:?  crew:?),25 ,25   (passengers:?  crew:?),25 ,0,Shot down by a Pakistani jet fighter while en route.
21-Sep-89,?,Centeral Afghanistan,,,Afghanistan,Afghanistan,1100,Military - Afghan Republican Air Force,17060,?,?,Mil Mi-8 (helicopter),?,?,26   (passengers:?  crew:?),26 ,26   (passengers:?  crew:?),26 ,0,?
27-Jul-06,?,Afghanistan,,,Afghanistan,Afghanistan,1100,Afghan Army,2530,?,Khost to Kabul,Mil Mi-8,?,?,16   (passengers:?  crew:?),16 ,16   (passengers:?  crew:?),16 ,0,Crashed while en route
27-Nov-04,11:20Z,Near Bagram, Afghanstan,,Afghanstan,Afghanstan,1110,Presidental Airways Inc. - Air Taxi,21670,-,"Bagram - Farah, Afghanstan",CASA 212-CC,N960BW,231,6   (passengers:3  crew:3),6 ,6   (passengers:3  crew:3),6 ,0,"Crashed into a mountain 80 miles west of Bagram while en route. The wreckage site was located a the 14,000 ft. level of a 16,739 ft. mountain. The crew deliberately avoided the standard route and took a joy ride in another direction, eventually becoming trapped in a canyon and slamming into a mountainside."
13-Sep-97,17:10,Off Namibia, Africa,,Africa,Africa,1120,Military - Luftwaffe / Military - USAF,17970,74,?,Tupolev TU-154M / C-141 Starlifter,1102/65-9405,89A-813,33   (passengers:23  crew:10),33 ,33   (passengers:23  crew:10),33 ,0,"Midair collision at 39,000 ft. The Tupolev 154 aircraft was flying at the wrong cruise altitude which caused the midair collision. Twenty-four killed aboard the Tupolev and 9 aboard the C-141. Contributing factors included weak flight-following procedures of the Luanda ATC and  poor regional ground communications."
26-Apr-94,20:16,Near Komaki, Aichi, Japan,Aichi,Aichi,1130,China Airlines (Taiwan),9290,140,Taipei - Nagoya,Airbus A300B4-622R,B-1816,580,271   (passengers:256  crew:15),271 ,264   (passengers:249  crew:15),264 ,0,"While on ILS approach to Nagoya Airport, at an altitude of 1,000 feet, the first officer inadvertently triggered the TOGA (take-off-go-around) lever. The crew tried to override this situation by turning off the autothrottle and reducing air speed. The aircraft stalled, hit the runway tail first and burst into flames. The plane crashed because of an extreme out of trim configuration brought about by the fact that the tailplane setting had moved automatically and undetected to a maximum nose-up position. The plane climbed at a steep angle until it stalled. The crew could have saved the aircraft even in the final seconds had they reverted to basic flight procedures and switched off the autopilot."
31-Mar-05,20:00,Near Rovie, Albania,,Albania,Albania,1140,Military - U.S. Air Force,18690,?,Training,Lockheed Hercules MC-130H,87-0127,5118,9   (passengers:0  crew:9),9 ,9   (passengers:0  crew:9),9 ,0,While on a training mission the aircraft crashed into a mountainous area and was destroyed.
23-Nov-89,?,Albania,,,Albania,Albania,1140,Military - People's Army/ Military - Peoples Air Force,18110,?,?,Mil Mi-4 / Mil Mi-4,?,?,24   (passengers:?  crew:?),24 ,24   (passengers:?  crew:?),24 ,0,Two helicopters transporting bus accident victims collided in mid-air.
25-Sep-30,?,Edmonton, Alberta, Canada,Alberta,Canada,1770,Western Canada Airways,28600,?,Calgary - Moosejaw,Boeing 40,CF-AIN,1165,3   (passengers:2  crew:1),3 ,3   (passengers:2  crew:1),3 ,0,The air mail plane crashed in fog  while attempting to land in fog.
19-Jan-46,?,Crowsnest Pass, Alberta, Canada,Alberta,Canada,1770,Mililtary - Royal Canadian Air Force,17020,?,"Comox, BC - Greenwood,NS",Douglas DC-3 Dakota,?,?,7   (passengers:0  crew:7),7 ,7   (passengers:0  crew:7),7 ,0,Collided with Mt. Ptolemy while en route.
27-Oct-48,16:50,Near Edmonton, Alberta, Canada,Alberta,Canada,1770,Northwest Orient Airlines,20380,6427,"Edmonton - Anchorage, AK",Douglas C-54A,NC88785,10406,5   (passengers:0  crew:5),5 ,2   (passengers:0  crew:2),2 ,0,Cargo flight. The captain's action in undertaking simulated emergency procedures at a dangerously low altitude.
26-May-55,14:30,Edmonton, Alberta, Canada,Alberta,Canada,1770,Associated Airways,6470,?,?,Avro 685 York C-1,CF-HMY,?,2   (passengers:0  crew:2),2 ,2   (passengers:0  crew:2),2 ,0,"The attempt of the pilot to takeoff under the prevailing unfavorable conditions. As a result, the aircraft hit an instrument landing building and crashed into a rail yard."
17-Sep-55,?,Near Thorhild, Alberta, Canada,Alberta,Canada,1770,Pacific Western Airlines,20820,?,"Edmonton, AB - Yellowknife, NT",Bristol 170 Freighter 31,CF-GBT,12831,6   (passengers:4  crew:2),6 ,2   (passengers:1  crew:1),2 ,0,"For reasons undetermined, the right engine failed and as a result of being overloaded, the aircraft did not maintain altitude on one engine and struck the ground with the right wingtip. A possible contributing factor was the failure of the co-pilot's vacuum-driven gyro instruments, without his knowledge."
